threshold,num_examples,positive_count,negative_count,positive_rate,predicted_positive_count,predicted_negative_count,true_negative,false_positive,false_negative,true_positive,accuracy,F1_weighted,F1_macro,F1_positive,F1_negative,balanced_accuracy,AUROC,PR_AUC_positive,PR_AUC_negative,feature_group,seed,threshold_mode,train_sec,num_features
0.5,5339,4584,755,0.8585877505150777,3422,1917,616,139,1301,3283,0.7302865705188237,0.7693598330535543,0.640606371568629,0.8201348988258806,0.46107784431137727,0.7660403881048969,0.8431232157923326,0.9675478495811116,0.5554372199669756,old_basic_pre_user,42,fixed_0.5,0.7202174663543701,21
0.1486394099891186,5339,4584,755,0.8585877505150777,4346,993,436,319,557,4027,0.8359243303989511,0.8449077908522283,0.7003797653245046,0.9019036954087346,0.4988558352402746,0.727986922552385,0.8431232157923326,0.9675478495811116,0.5554372199669756,old_basic_pre_user,42,val_F1_macro,0.7202174663543701,21
0.5,5339,4584,755,0.8585877505150777,3441,1898,603,152,1295,3289,0.7289754635699569,0.7680576235296946,0.6371340972953677,0.8196884735202492,0.4545797210704862,0.7580855668434983,0.8388005212486853,0.9665623283005129,0.5420488990371228,old_basic_pre_user,43,fixed_0.5,0.6620702743530273,21
0.17859003864228726,5339,4584,755,0.8585877505150777,4275,1064,455,300,609,3975,0.8297433976400075,0.8412351882588485,0.6988336792635661,0.8973924822214697,0.5002748763056625,0.7348978017405776,0.8388005212486853,0.9665623283005129,0.5420488990371228,old_basic_pre_user,43,val_F1_macro,0.6620702743530273,21
0.5,5339,4584,755,0.8585877505150777,3454,1885,606,149,1279,3305,0.7325341824311669,0.7709754487753434,0.6407173878622,0.8223438666334909,0.4590909090909091,0.761817522508466,0.8420235082001317,0.9676931831840827,0.5517234471427389,old_basic_pre_user,44,fixed_0.5,0.6562240123748779,21
0.19171009123325347,5339,4584,755,0.8585877505150777,4243,1096,463,292,633,3951,0.8267465817568833,0.8393588477597617,0.6977390045778824,0.8952078848986066,0.5002701242571583,0.7375780139384904,0.8420235082001317,0.9676931831840827,0.5517234471427389,old_basic_pre_user,44,val_F1_macro,0.6562240123748779,21
0.5,5339,4584,755,0.8585877505150777,3443,1896,598,157,1298,3286,0.7274770556283948,0.7667555643398822,0.6349436363326207,0.8187367634234459,0.45115050924179556,0.7544470834344625,0.839006102423633,0.9668776371459071,0.5380247038175074,old_basic_pre_user,45,fixed_0.5,0.6424474716186523,21
0.2175113409757614,5339,4584,755,0.8585877505150777,4163,1176,485,270,691,3893,0.8200037460198539,0.8352936144544728,0.6962320794517283,0.8901337601463359,0.5023303987571207,0.7458211978317904,0.839006102423633,0.9668776371459071,0.5380247038175074,old_basic_pre_user,45,val_F1_macro,0.6424474716186523,21
0.5,5339,4584,755,0.8585877505150777,3447,1892,602,153,1290,3294,0.729724667540738,0.7686397865797283,0.6375879037298658,0.8203212551363467,0.45485455232338495,0.7579686904060192,0.8383962934711002,0.9668245919506425,0.5433198158424989,old_basic_pre_user,46,fixed_0.5,0.6502282619476318,21
0.16374149188399315,5339,4584,755,0.8585877505150777,4306,1033,450,305,583,4001,0.833676718486608,0.8440062170055322,0.7017340953186222,0.9001124859392576,0.5033557046979866,0.7344224945968124,0.8383962934711002,0.9668245919506425,0.5433198158424989,old_basic_pre_user,46,val_F1_macro,0.6502282619476318,21
0.5,5339,4584,755,0.8585877505150777,3454,1885,605,150,1280,3304,0.7321595804457763,0.7706546860985581,0.6402141909264327,0.8220950485195322,0.4583333333333333,0.7610461958092067,0.841425256868116,0.9671535420916483,0.5480818559346482,old_basic_no_pair,42,fixed_0.5,0.5821366310119629,17
0.13928925961256036,5339,4584,755,0.8585877505150777,4371,968,431,324,537,4047,0.83873384528938,0.8467839288462212,0.7020713939206576,0.9038525963149079,0.5002901915264074,0.7268571651468396,0.841425256868116,0.9671535420916483,0.5480818559346482,old_basic_no_pair,42,val_F1_macro,0.5821366310119629,17
0.5,5339,4584,755,0.8585877505150777,3471,1868,589,166,1279,3305,0.7293500655553474,0.7680730677532193,0.6348561985567674,0.8206083178150217,0.44910407929851315,0.7505592443627707,0.8368822451833615,0.9663391194621767,0.5428798180131561,old_basic_no_pair,43,fixed_0.5,0.5741665363311768,17
0.23797627627849577,5339,4584,755,0.8585877505150777,4131,1208,492,263,716,3868,0.8166323281513392,0.8330244706155542,0.6944692531862404,0.8876649454962708,0.5012735608762099,0.7477300833304439,0.8368822451833615,0.9663391194621767,0.5428798180131561,old_basic_no_pair,43,val_F1_macro,0.5741665363311768,17
0.5,5339,4584,755,0.8585877505150777,3452,1887,605,150,1282,3302,0.7317849784603858,0.7703539207569802,0.6398941327237122,0.8218018914883026,0.4579863739591219,0.7608280457219467,0.8421110571755487,0.9675463955349808,0.5497361504972631,old_basic_no_pair,44,fixed_0.5,0.6026778221130371,17
0.16693386495113371,5339,4584,755,0.8585877505150777,4303,1036,452,303,584,4000,0.8338640194793032,0.8442704757600171,0.7024686213156979,0.900191290649263,0.5047459519821329,0.7356379228644407,0.8421110571755487,0.9675463955349808,0.5497361504972631,old_basic_no_pair,44,val_F1_macro,0.6026778221130371,17
0.5,5339,4584,755,0.8585877505150777,3451,1888,610,145,1278,3306,0.7334706873946432,0.7718071231380162,0.6422482418834926,0.8228998133167392,0.46159667045024594,0.7645756041746126,0.8419258463067624,0.9670115467804297,0.5494691083306499,old_basic_no_pair,45,fixed_0.5,0.5997586250305176,17
0.20003376118838787,5339,4584,755,0.8585877505150777,4209,1130,478,277,652,3932,0.8259973777861023,0.8395949372398966,0.7007547901770186,0.8943477766405095,0.5071618037135278,0.7454393629439571,0.8419258463067624,0.9670115467804297,0.5494691083306499,old_basic_no_pair,45,val_F1_macro,0.5997586250305176,17
0.5,5339,4584,755,0.8585877505150777,3434,1905,611,144,1294,3290,0.7306611725042143,0.7695676426592597,0.6400260128995474,0.8206535295584934,0.45939849624060153,0.7634926551321614,0.843508806906834,0.9677240886312107,0.5547148222273245,old_basic_no_pair,46,fixed_0.5,0.6177999973297119,17
0.16916564345359802,5339,4584,755,0.8585877505150777,4281,1058,455,300,603,3981,0.830867203596179,0.8421100485600482,0.7000346249077214,0.8981387478849407,0.5019305019305019,0.7355522520023577,0.843508806906834,0.9677240886312107,0.5547148222273245,old_basic_no_pair,46,val_F1_macro,0.6177999973297119,17
0.5,5339,4584,755,0.8585877505150777,3434,1905,602,153,1303,3281,0.7272897546356996,0.7666832320666775,0.6355200798204041,0.8184085806934398,0.45263157894736844,0.7565507148388291,0.8228358355581753,0.9623517133771258,0.5230047062214267,degree_ratio_status,42,fixed_0.5,0.5236945152282715,13
0.15637537837028503,5339,4584,755,0.8585877505150777,4303,1036,419,336,617,3967,0.821502153961416,0.8326829350612135,0.6803298716052538,0.8927647125014065,0.46789503070910105,0.7101841417888886,0.8228358355581753,0.9623517133771258,0.5230047062214267,degree_ratio_status,42,val_F1_macro,0.5236945152282715,13
0.5,5339,4584,755,0.8585877505150777,3417,1922,609,146,1313,3271,0.7267278516576138,0.7663631048304235,0.6363173598444012,0.8176477940257468,0.45498692566305565,0.7600957259919328,0.8261629855645319,0.9630283631953497,0.5232717254927315,degree_ratio_status,43,fixed_0.5,0.5312070846557617,13
0.1700703716278076,5339,4584,755,0.8585877505150777,4264,1075,430,325,645,3939,0.8183180370855966,0.8309174107526613,0.68015803021769,0.890370705244123,0.46994535519125685,0.7144148087791686,0.8261629855645319,0.9630283631953497,0.5232717254927315,degree_ratio_status,43,val_F1_macro,0.5312070846557617,13
0.5,5339,4584,755,0.8585877505150777,3462,1877,597,158,1280,3304,0.7306611725042143,0.7692902346883955,0.6374625349528962,0.8212776534924185,0.45364741641337386,0.7557481825641736,0.8281913479652809,0.9636227370587277,0.5195361834650688,degree_ratio_status,44,fixed_0.5,0.5278644561767578,13
0.14875658959150326,5339,4584,755,0.8585877505150777,4344,995,417,338,578,4006,0.8284322906911407,0.8378909160169393,0.6869864311315924,0.8974014336917563,0.4765714285714286,0.7131135651792009,0.8281913479652809,0.9636227370587277,0.5195361834650688,degree_ratio_status,44,val_F1_macro,0.5278644561767578,13
0.5,5339,4584,755,0.8585877505150777,3460,1879,601,154,1278,3306,0.7317849784603858,0.7702732887574286,0.6391596409572711,0.8219791148682247,0.4563401670463174,0.7586153392739503,0.8249137512568913,0.9631751322355717,0.5182423887716305,degree_ratio_status,45,fixed_0.5,0.5387413501739502,13
0.20537745974957944,5339,4584,755,0.8585877505150777,4147,1192,450,305,742,3842,0.8038958606480614,0.8209957815550714,0.671166039786327,0.8800824647806665,0.4622496147919877,0.7170795626596397,0.8249137512568913,0.9631751322355717,0.5182423887716305,degree_ratio_status,45,val_F1_macro,0.5387413501739502,13
0.5,5339,4584,755,0.8585877505150777,3437,1902,601,154,1301,3283,0.7274770556283948,0.7668144140742794,0.6354955426799533,0.8186011719237003,0.45238991343620627,0.7561066132704599,0.82524429920368,0.963067404746492,0.5300262109221294,degree_ratio_status,46,fixed_0.5,0.5347979068756104,13
0.18358094990253448,5339,4584,755,0.8585877505150777,4218,1121,440,315,681,3903,0.8134482112755198,0.8277674126341682,0.6779635273820788,0.8868438991138378,0.4690831556503198,0.7171106237647793,0.82524429920368,0.963067404746492,0.5300262109221294,degree_ratio_status,46,val_F1_macro,0.5347979068756104,13
0.5,5339,4584,755,0.8585877505150777,0,5339,755,0,4584,0,0.14141224948492226,0.03503979270138376,0.12389235313423039,0.0,0.24778470626846077,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,42,fixed_0.5,0.31316089630126953,4
0.0,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,42,val_F1_macro,0.31316089630126953,4
0.5,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,43,fixed_0.5,0.29506969451904297,4
0.0,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,43,val_F1_macro,0.29506969451904297,4
0.5,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,44,fixed_0.5,0.3010704517364502,4
0.0,5339,4584,755,0.8585877505150777,5339,0,0,755,0,4584,0.8585877505150777,0.7932613621608618,0.46195706943464676,0.9239141388692935,0.0,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,44,val_F1_macro,0.3010704517364502,4
0.5,5339,4584,755,0.8585877505150777,0,5339,755,0,4584,0,0.14141224948492226,0.03503979270138376,0.12389235313423039,0.0,0.24778470626846077,0.5,0.5,0.8585877505150777,0.14141224948492226,pair_history_only,45,fixed_0.5,0.31812334060668945,4
