feature_group,seed,feature,importance
old_basic_no_pair,43,src_out_pos,0.028594907373189926
old_basic_no_pair,43,src_out_neg,0.1698378622531891
old_basic_no_pair,43,src_in_pos,0.0
old_basic_no_pair,43,src_in_neg,0.0
old_basic_no_pair,43,dst_out_pos,0.0
old_basic_no_pair,43,dst_out_neg,0.0
old_basic_no_pair,43,dst_in_pos,0.028441131114959717
old_basic_no_pair,43,dst_in_neg,0.4669051766395569
old_basic_no_pair,43,src_pos_ratio,0.05447995290160179
old_basic_no_pair,43,dst_in_pos_ratio,0.12515339255332947
old_basic_no_pair,43,q_src,0.0
old_basic_no_pair,43,q_dst,0.036683592945337296
old_basic_no_pair,43,status_gap,0.026379559189081192
old_basic_no_pair,43,coverage_uv,0.0
old_basic_no_pair,43,coverage_vu,0.0
old_basic_no_pair,43,src_recency_log,0.02880723401904106
old_basic_no_pair,43,dst_recency_log,0.03471720963716507
old_basic_no_pair,44,src_out_pos,0.03042316623032093
old_basic_no_pair,44,src_out_neg,0.16689541935920715
old_basic_no_pair,44,src_in_pos,0.0
old_basic_no_pair,44,src_in_neg,0.0
old_basic_no_pair,44,dst_out_pos,0.0
old_basic_no_pair,44,dst_out_neg,0.0
old_basic_no_pair,44,dst_in_pos,0.029843805357813835
old_basic_no_pair,44,dst_in_neg,0.43734973669052124
old_basic_no_pair,44,src_pos_ratio,0.05929986760020256
old_basic_no_pair,44,dst_in_pos_ratio,0.14353927969932556
old_basic_no_pair,44,q_src,0.0
old_basic_no_pair,44,q_dst,0.03045283630490303
old_basic_no_pair,44,status_gap,0.031379178166389465
old_basic_no_pair,44,coverage_uv,0.0
old_basic_no_pair,44,coverage_vu,0.0
old_basic_no_pair,44,src_recency_log,0.031054645776748657
old_basic_no_pair,44,dst_recency_log,0.03976201266050339
old_basic_no_pair,45,src_out_pos,0.03062344156205654
old_basic_no_pair,45,src_out_neg,0.17937105894088745
old_basic_no_pair,45,src_in_pos,0.0
old_basic_no_pair,45,src_in_neg,0.0
old_basic_no_pair,45,dst_out_pos,0.0
old_basic_no_pair,45,dst_out_neg,0.0
old_basic_no_pair,45,dst_in_pos,0.03069181926548481
old_basic_no_pair,45,dst_in_neg,0.4555658996105194
old_basic_no_pair,45,src_pos_ratio,0.050571978092193604
old_basic_no_pair,45,dst_in_pos_ratio,0.12770231068134308
old_basic_no_pair,45,q_src,0.0
old_basic_no_pair,45,q_dst,0.038873091340065
old_basic_no_pair,45,status_gap,0.02437017299234867
old_basic_no_pair,45,coverage_uv,0.0
old_basic_no_pair,45,coverage_vu,0.0
old_basic_no_pair,45,src_recency_log,0.0276795644313097
old_basic_no_pair,45,dst_recency_log,0.03455065190792084
old_basic_no_pair,46,src_out_pos,0.030814850702881813
old_basic_no_pair,46,src_out_neg,0.16700489819049835
old_basic_no_pair,46,src_in_pos,0.0
old_basic_no_pair,46,src_in_neg,0.0
old_basic_no_pair,46,dst_out_pos,0.0
old_basic_no_pair,46,dst_out_neg,0.0
old_basic_no_pair,46,dst_in_pos,0.029295003041625023
old_basic_no_pair,46,dst_in_neg,0.4458808898925781
old_basic_no_pair,46,src_pos_ratio,0.05417843163013458
old_basic_no_pair,46,dst_in_pos_ratio,0.14459601044654846
old_basic_no_pair,46,q_src,0.0
old_basic_no_pair,46,q_dst,0.039936408400535583
old_basic_no_pair,46,status_gap,0.02168491668999195
old_basic_no_pair,46,coverage_uv,0.0
old_basic_no_pair,46,coverage_vu,0.0
old_basic_no_pair,46,src_recency_log,0.029161090031266212
old_basic_no_pair,46,dst_recency_log,0.03744753822684288
degree_ratio_status,42,src_out_pos,0.035238638520240784
degree_ratio_status,42,src_out_neg,0.17776305973529816
degree_ratio_status,42,src_in_pos,0.0
degree_ratio_status,42,src_in_neg,0.0
degree_ratio_status,42,dst_out_pos,0.0
degree_ratio_status,42,dst_out_neg,0.0
degree_ratio_status,42,dst_in_pos,0.0339311808347702
degree_ratio_status,42,dst_in_neg,0.51700359582901
degree_ratio_status,42,src_pos_ratio,0.052750565111637115
degree_ratio_status,42,dst_in_pos_ratio,0.10885818302631378
degree_ratio_status,42,q_src,0.0
degree_ratio_status,42,q_dst,0.04435060918331146
degree_ratio_status,42,status_gap,0.030104147270321846
degree_ratio_status,43,src_out_pos,0.03429996222257614
degree_ratio_status,43,src_out_neg,0.16712595522403717
degree_ratio_status,43,src_in_pos,0.0
degree_ratio_status,43,src_in_neg,0.0
degree_ratio_status,43,dst_out_pos,0.0
degree_ratio_status,43,dst_out_neg,0.0
degree_ratio_status,43,dst_in_pos,0.03595808893442154
degree_ratio_status,43,dst_in_neg,0.514631986618042
degree_ratio_status,43,src_pos_ratio,0.055748146027326584
degree_ratio_status,43,dst_in_pos_ratio,0.11131878197193146
degree_ratio_status,43,q_src,0.0
degree_ratio_status,43,q_dst,0.04276846721768379
degree_ratio_status,43,status_gap,0.0381486751139164
degree_ratio_status,44,src_out_pos,0.034126464277505875
degree_ratio_status,44,src_out_neg,0.1660161167383194
degree_ratio_status,44,src_in_pos,0.0
degree_ratio_status,44,src_in_neg,0.0
degree_ratio_status,44,dst_out_pos,0.0
degree_ratio_status,44,dst_out_neg,0.0
degree_ratio_status,44,dst_in_pos,0.03725651279091835
degree_ratio_status,44,dst_in_neg,0.4750633239746094
degree_ratio_status,44,src_pos_ratio,0.06324290484189987
degree_ratio_status,44,dst_in_pos_ratio,0.1486225724220276
degree_ratio_status,44,q_src,0.0
degree_ratio_status,44,q_dst,0.0538485161960125
degree_ratio_status,44,status_gap,0.021823560819029808
degree_ratio_status,45,src_out_pos,0.033656321465969086
degree_ratio_status,45,src_out_neg,0.16276238858699799
degree_ratio_status,45,src_in_pos,0.0
degree_ratio_status,45,src_in_neg,0.0
degree_ratio_status,45,dst_out_pos,0.0
degree_ratio_status,45,dst_out_neg,0.0
degree_ratio_status,45,dst_in_pos,0.03160325065255165
degree_ratio_status,45,dst_in_neg,0.5158222317695618
degree_ratio_status,45,src_pos_ratio,0.05652381479740143
degree_ratio_status,45,dst_in_pos_ratio,0.1291603147983551
degree_ratio_status,45,q_src,0.0
degree_ratio_status,45,q_dst,0.04213809594511986
degree_ratio_status,45,status_gap,0.028333520516753197
degree_ratio_status,46,src_out_pos,0.037059236317873
degree_ratio_status,46,src_out_neg,0.16194267570972443
degree_ratio_status,46,src_in_pos,0.0
degree_ratio_status,46,src_in_neg,0.0
degree_ratio_status,46,dst_out_pos,0.0
degree_ratio_status,46,dst_out_neg,0.0
degree_ratio_status,46,dst_in_pos,0.035043492913246155
degree_ratio_status,46,dst_in_neg,0.48737186193466187
degree_ratio_status,46,src_pos_ratio,0.0590246319770813
degree_ratio_status,46,dst_in_pos_ratio,0.12005437165498734
degree_ratio_status,46,q_src,0.0
degree_ratio_status,46,q_dst,0.04622213914990425
degree_ratio_status,46,status_gap,0.053281571716070175
pair_history_only,42,pair_pos_count,0.0
pair_history_only,42,pair_neg_count,0.0
pair_history_only,42,rev_pair_pos_count,0.0
pair_history_only,42,rev_pair_neg_count,0.0
pair_history_only,43,pair_pos_count,0.0
pair_history_only,43,pair_neg_count,0.0
pair_history_only,43,rev_pair_pos_count,0.0
pair_history_only,43,rev_pair_neg_count,0.0
pair_history_only,44,pair_pos_count,0.0
pair_history_only,44,pair_neg_count,0.0
pair_history_only,44,rev_pair_pos_count,0.0
pair_history_only,44,rev_pair_neg_count,0.0
pair_history_only,45,pair_pos_count,0.0
pair_history_only,45,pair_neg_count,0.0
pair_history_only,45,rev_pair_pos_count,0.0
pair_history_only,45,rev_pair_neg_count,0.0
pair_history_only,46,pair_pos_count,0.0
pair_history_only,46,pair_neg_count,0.0
pair_history_only,46,rev_pair_pos_count,0.0
pair_history_only,46,rev_pair_neg_count,0.0
target_reputation_user,42,dst_in_pos,0.03163530305027962
target_reputation_user,42,dst_in_neg,0.5218242406845093
target_reputation_user,42,dst_in_pos_ratio,0.1520622968673706
target_reputation_user,42,q_dst,0.024808747693896294
target_reputation_user,42,dst_trusted_in_count,0.01892479881644249
target_reputation_user,42,dst_trusted_ratio,0.09804383665323257
target_reputation_user,42,dst_visibility_log,0.05042168125510216
target_reputation_user,42,dst_high_visibility,0.06218533590435982
target_reputation_user,42,dst_visibility_share_of_max,0.04009387269616127
target_reputation_user,43,dst_in_pos,0.03620068356394768
target_reputation_user,43,dst_in_neg,0.6033364534378052
target_reputation_user,43,dst_in_pos_ratio,0.13310040533542633
target_reputation_user,43,q_dst,0.02876397967338562
target_reputation_user,43,dst_trusted_in_count,0.0168618131428957
target_reputation_user,43,dst_trusted_ratio,0.10158729553222656
target_reputation_user,43,dst_visibility_log,0.03633628413081169
target_reputation_user,43,dst_high_visibility,0.0
target_reputation_user,43,dst_visibility_share_of_max,0.04381309822201729
target_reputation_user,44,dst_in_pos,0.029261095449328423
target_reputation_user,44,dst_in_neg,0.5769092440605164
target_reputation_user,44,dst_in_pos_ratio,0.10191432386636734
target_reputation_user,44,q_dst,0.026550786569714546
target_reputation_user,44,dst_trusted_in_count,0.017837904393672943
target_reputation_user,44,dst_trusted_ratio,0.17347849905490875
target_reputation_user,44,dst_visibility_log,0.023136910051107407
target_reputation_user,44,dst_high_visibility,0.009845886379480362
target_reputation_user,44,dst_visibility_share_of_max,0.04106539487838745
target_reputation_user,45,dst_in_pos,0.02885148860514164
target_reputation_user,45,dst_in_neg,0.5187527537345886
target_reputation_user,45,dst_in_pos_ratio,0.11711962521076202
target_reputation_user,45,q_dst,0.026635954156517982
target_reputation_user,45,dst_trusted_in_count,0.01981220208108425
target_reputation_user,45,dst_trusted_ratio,0.16169272363185883
target_reputation_user,45,dst_visibility_log,0.033131424337625504
target_reputation_user,45,dst_high_visibility,0.05649913102388382
target_reputation_user,45,dst_visibility_share_of_max,0.03750469908118248
target_reputation_user,46,dst_in_pos,0.02930280938744545
target_reputation_user,46,dst_in_neg,0.5383882522583008
target_reputation_user,46,dst_in_pos_ratio,0.12488645315170288
target_reputation_user,46,q_dst,0.025214849039912224
target_reputation_user,46,dst_trusted_in_count,0.019021816551685333
target_reputation_user,46,dst_trusted_ratio,0.15409930050373077
target_reputation_user,46,dst_visibility_log,0.038048531860113144
target_reputation_user,46,dst_high_visibility,0.031026659533381462
target_reputation_user,46,dst_visibility_share_of_max,0.04001125320792198
user_added_only,42,src_seen_before,0.060902711004018784
user_added_only,42,dst_seen_before,0.5580111145973206
user_added_only,42,src_history_activity_log,0.04362434148788452
user_added_only,42,dst_visibility_log,0.049905095249414444
user_added_only,42,dst_trusted_in_count,0.025088518857955933
user_added_only,42,dst_trusted_ratio,0.19124017655849457
user_added_only,42,dst_high_visibility,0.035218436270952225
user_added_only,42,dst_visibility_share_of_max,0.03600965440273285
user_added_only,43,src_seen_before,0.05458461120724678
user_added_only,43,dst_seen_before,0.6095800399780273
user_added_only,43,src_history_activity_log,0.03971238061785698
user_added_only,43,dst_visibility_log,0.03644455596804619
user_added_only,43,dst_trusted_in_count,0.02260497771203518
user_added_only,43,dst_trusted_ratio,0.17597125470638275
user_added_only,43,dst_high_visibility,0.028704611584544182
user_added_only,43,dst_visibility_share_of_max,0.03239758312702179
user_added_only,44,src_seen_before,0.06150136888027191
user_added_only,44,dst_seen_before,0.5986579656600952
user_added_only,44,src_history_activity_log,0.04136987775564194
user_added_only,44,dst_visibility_log,0.044436268508434296
user_added_only,44,dst_trusted_in_count,0.022558536380529404
user_added_only,44,dst_trusted_ratio,0.17901845276355743
user_added_only,44,dst_high_visibility,0.01973824016749859
user_added_only,44,dst_visibility_share_of_max,0.03271927684545517
user_added_only,45,src_seen_before,0.06253383308649063
user_added_only,45,dst_seen_before,0.5838667750358582
user_added_only,45,src_history_activity_log,0.04048147425055504
user_added_only,45,dst_visibility_log,0.038474202156066895
user_added_only,45,dst_trusted_in_count,0.024102237075567245
