feature_group,PR_AUC_negative_mean,PR_AUC_negative_std,F1_negative_mean,F1_negative_std,F1_macro_mean,F1_macro_std,AUROC_mean,AUROC_std,F1_weighted_mean,F1_weighted_std,balanced_accuracy_mean,balanced_accuracy_std,train_sec_mean,train_sec_std,num_features
old_basic_no_pair,0.5489763510006084,0.0042343238235696,0.503080402005756,0.002819756912996554,0.6999597367014672,0.0032224496009356724,0.8411706424881246,0.0025187747699489038,0.8411567722043476,0.005264086699095649,0.7382433572576078,0.008447724191672131,0.5953079223632812,0.01732381837290001,17
user_added_only,0.43821886402089205,0.012036816414003011,0.4854871390957271,0.006452874338319924,0.6996883180477896,0.004982380161914015,0.6933084844492216,0.0007552722663140123,0.853308155883985,0.003933513029389971,0.7018939472741352,0.0010854624090044238,0.45061049461364744,0.004774727413866091,8
old_basic_pre_user,0.5461108171613687,0.007213832213532415,0.5010173878516405,0.0018009552520168249,0.6989837247872608,0.00215967945264936,0.8402699282271765,0.0021496053347266576,0.8409603316661688,0.003860434960354465,0.7361412861320111,0.006456760419656591,0.6662374973297119,0.031039223673574996,21
all_current,0.5472419965475198,0.005471063548920983,0.489958114211727,0.007705420153512988,0.6970104085575143,0.009635956673688306,0.8234949088681622,0.00554609734901565,0.8455032414943974,0.011616207619452042,0.7167893508084555,0.009148366470459593,0.756681489944458,0.00837866606450878,29
target_reputation_user,0.4159998947461693,0.0069305143681196125,0.46446267447532436,0.004056943224163744,0.6845448808767143,0.0030140405042097932,0.7442987991632284,0.004268538578067715,0.8423824475204533,0.00259124292165196,0.6953977844041469,0.0025308589661953095,0.4731450080871582,0.006930446807003958,9
degree_ratio_status,0.5228162429745974,0.004579998722167315,0.4691489169828188,0.005121155098305064,0.6793207800245884,0.0056750194644478585,0.8254696439097119,0.0019484056897261948,0.8300508912040108,0.006252075359330938,0.7143805404343354,0.0029135132645975443,0.5312610626220703,0.00585782505629003,13
pair_history_only,0.14141224948492226,0.0,0.0,0.0,0.46195706943464676,0.0,0.5,0.0,0.7932613621608618,0.0,0.5,0.0,0.3061086654663086,0.009357714585861562,4
