threshold,num_examples,positive_count,negative_count,positive_rate,predicted_positive_count,predicted_negative_count,true_negative,false_positive,false_negative,true_positive,accuracy,F1_weighted,F1_macro,F1_positive,F1_negative,balanced_accuracy,AUROC,PR_AUC_positive,PR_AUC_negative,dataset,model,feature_set,seed,threshold_mode,best_epoch,val_threshold_score,train_wall_time_sec,eval_wall_time_sec,total_wall_time_sec,device,num_parameters,max_events_per_block,status_feature_count,note
0.596736490726471,5339,4584,755,0.8585877505150777,4890,449,202,553,247,4337,0.850159205843791,0.8335378235211804,0.6255532715170107,0.9155583702765464,0.335548172757475,0.6068332986604719,0.7363279128093108,0.9376148995924852,0.4065046479899074,BitcoinOTC-1,semba,graph_memory,42,val_F1_macro,1.0,0.7202881734707363,39.113078,0.202048,39.315127,cuda,124545,1000.0,0.0,
0.5,5339,4584,755,0.8585877505150777,5156,183,131,624,52,4532,0.8733845289380033,0.8384968258848168,0.6049565898871732,0.9305954825462012,0.279317697228145,0.5810830646186563,0.7363279128093108,0.9376148995924852,0.4065046479899074,BitcoinOTC-1,semba,graph_memory,42,fixed_0.5,1.0,0.7202881734707363,39.113078,0.202048,39.315127,cuda,124545,1000.0,0.0,
0.6799834370613098,5339,4584,755,0.8585877505150777,4860,479,204,551,275,4309,0.8452893800337142,0.8302485698008614,0.6215845756646533,0.912537060567556,0.3306320907617504,0.6051037007500896,0.7330342799024537,0.9366216775895296,0.3958947431508857,BitcoinOTC-1,semba,graph_memory,43,val_F1_macro,4.0,0.7206598867737761,58.678092,0.20607,58.884162,cuda,124545,1000.0,0.0,
0.5,5339,4584,755,0.8585877505150777,5095,244,148,607,96,4488,0.8683274021352313,0.8381271856786039,0.6118324130515472,0.9273685298067982,0.2962962962962963,0.5875420408446309,0.7330342799024537,0.9366216775895296,0.3958947431508857,BitcoinOTC-1,semba,graph_memory,43,fixed_0.5,4.0,0.7206598867737761,58.678092,0.20607,58.884162,cuda,124545,1000.0,0.0,
0.6893062591552734,5339,4584,755,0.8585877505150777,4955,384,193,562,191,4393,0.8589623525004683,0.8387353428117859,0.6299773371568924,0.921060907851976,0.3388937664618086,0.6069812362030905,0.7523032892987991,0.9383543631779326,0.4078954881260213,BitcoinOTC-1,semba,graph_memory,44,val_F1_macro,6.0,0.7342010583563738,57.436441,0.181133,57.617574,cuda,124545,1000.0,0.0,
0.5,5339,4584,755,0.8585877505150777,5212,127,92,663,35,4549,0.8692639070987076,0.8269112738004728,0.5686816035792295,0.9287464271131074,0.2086167800453514,0.5571095257908302,0.7523032892987991,0.9383543631779326,0.4078954881260213,BitcoinOTC-1,semba,graph_memory,44,fixed_0.5,6.0,0.7342010583563738,57.436441,0.181133,57.617574,cuda,124545,1000.0,0.0,
0.7916083151102066,5339,4584,755,0.8585877505150777,4267,1072,366,389,706,3878,0.7949054129986889,0.8090254904746759,0.6384709899839692,0.8762851655180206,0.4006568144499179,0.6653771251574726,0.7334229048923407,0.936907680235383,0.3601078351813422,BitcoinOTC-1,semba,graph_memory,45,val_F1_macro,6.0,0.6989594842348845,56.218645,0.314955,56.5336,cuda,124545,1000.0,0.0,
0.5,5339,4584,755,0.8585877505150777,5251,88,64,691,24,4560,0.8660797902228882,0.8176406619822058,0.5395695644805966,0.927300457549568,0.1518386714116251,0.5397663049131445,0.7334229048923407,0.936907680235383,0.3601078351813422,BitcoinOTC-1,semba,graph_memory,45,fixed_0.5,6.0,0.6989594842348845,56.218645,0.314955,56.5336,cuda,124545,1000.0,0.0,
0.6368885576725006,5339,4584,755,0.8585877505150777,5021,318,151,604,167,4417,0.8555909346319536,0.8294693418920878,0.6005915876565143,0.9197293076522643,0.2814538676607642,0.5817844677137871,0.7249047941009904,0.9332736668204092,0.3707240596523376,BitcoinOTC-1,semba,graph_memory,46,val_F1_macro,6.0,0.710278141140011,56.190734,0.182042,56.372777,cuda,124545,1000.0,0.0,
0.5,5339,4584,755,0.8585877505150777,5212,127,92,663,35,4549,0.8692639070987076,0.8269112738004728,0.5686816035792295,0.9287464271131074,0.2086167800453514,0.5571095257908302,0.7249047941009904,0.9332736668204092,0.3707240596523376,BitcoinOTC-1,semba,graph_memory,46,fixed_0.5,6.0,0.710278141140011,56.190734,0.182042,56.372777,cuda,124545,1000.0,0.0,
0.6479581278562546,5339,4584,755,0.8585877505150777,4372,967,482,273,485,4099,0.858025847536992,0.865084900208826,0.7375890856783894,0.9153640017865118,0.5598141695702671,0.7663039018526866,0.8602848375576436,0.9677562645032284,0.6143590980019986,BitcoinOTC-1,semba-status-decoder,all_status,42,val_F1_macro,3.0,0.8315447985748525,57.256694,0.185622,57.442316,cuda,160642,1000.0,24.0,
