threshold,num_examples,positive_count,negative_count,positive_rate,predicted_positive_count,predicted_negative_count,true_negative,false_positive,false_negative,true_positive,accuracy,F1_weighted,F1_macro,F1_positive,F1_negative,balanced_accuracy,AUROC,PR_AUC_positive,PR_AUC_negative,dataset,model,feature_set,seed,threshold_mode,best_epoch,val_threshold_score,train_wall_time_sec,eval_wall_time_sec,total_wall_time_sec,device,num_parameters,max_events_per_block,status_feature_count,note
0.6479581278562546,5339,4584,755,0.8585877505150777,4372,967,482,273,485,4099,0.858025847536992,0.865084900208826,0.7375890856783894,0.9153640017865118,0.5598141695702671,0.7663039018526866,0.8602848375576436,0.9677562645032284,0.6143590980019986,BitcoinOTC-1,semba-status-decoder,all_status,42,val_F1_macro,3.0,0.8315447985748525,57.256694,0.185622,57.442316,cuda,160642,1000.0,24.0,
0.5,5339,4584,755,0.8585877505150777,4596,743,421,334,322,4262,0.8771305487919085,0.8767187216392867,0.7453115410234706,0.9285403050108932,0.562082777036048,0.743685782971002,0.8602848375576436,0.9677562645032284,0.6143590980019986,BitcoinOTC-1,semba-status-decoder,all_status,42,fixed_0.5,3.0,0.8315447985748525,57.256694,0.185622,57.442316,cuda,160642,1000.0,24.0,
0.6250951290130615,5339,4584,755,0.8585877505150777,4115,1224,525,230,699,3885,0.8259973777861023,0.8419250675567169,0.7118885555488625,0.8932061156454765,0.5305709954522486,0.7714386637079158,0.8446598014400795,0.9602924595478382,0.5800035583325611,BitcoinOTC-1,semba-status-decoder,all_status,43,val_F1_macro,1.0,0.8300692711251465,38.440017,0.186044,38.626061,cuda,160642,1000.0,24.0,
0.5,5339,4584,755,0.8585877505150777,4468,871,441,314,430,4154,0.8606480614347256,0.864725907866601,0.7301218217661629,0.9178082191780822,0.5424354243542435,0.7451507113715428,0.8446598014400795,0.9602924595478382,0.5800035583325611,BitcoinOTC-1,semba-status-decoder,all_status,43,fixed_0.5,1.0,0.8300692711251465,38.440017,0.186044,38.626061,cuda,160642,1000.0,24.0,
0.6551320254802704,5339,4584,755,0.8585877505150777,4129,1210,525,230,685,3899,0.8286195916838359,0.8439865311104144,0.7146678254744381,0.8949845059107081,0.5343511450381679,0.7729657143187361,0.8488474162939335,0.9604668597909908,0.602006266117219,BitcoinOTC-1,semba-status-decoder,all_status,44,val_F1_macro,1.0,0.8300692711251465,38.328943,0.314617,38.643561,cuda,160642,1000.0,24.0,
0.5,5339,4584,755,0.8585877505150777,4531,808,433,322,375,4209,0.8694512080914029,0.8712850633774408,0.7387976692219872,0.923532638507954,0.5540626999360204,0.7458518255261606,0.8488474162939335,0.9604668597909908,0.602006266117219,BitcoinOTC-1,semba-status-decoder,all_status,44,fixed_0.5,1.0,0.8300692711251465,38.328943,0.314617,38.643561,cuda,160642,1000.0,24.0,
0.7629925826191902,5339,4584,755,0.8585877505150777,4120,1219,528,227,691,3893,0.8280576887057501,0.8436826798103763,0.7147428286474165,0.89453125,0.5349544072948328,0.7742980190238433,0.8560098181986292,0.9682526267693952,0.5909877991576808,BitcoinOTC-1,semba-status-decoder,all_status,45,val_F1_macro,6.0,0.8315786729220291,56.99568,0.190045,57.185725,cuda,160642,1000.0,24.0,
0.5,5339,4584,755,0.8585877505150777,4621,718,404,351,314,4270,0.8754448398576512,0.8741308295908586,0.7381485238733192,0.9277566539923956,0.548540393754243,0.7333001051743467,0.8560098181986292,0.9682526267693952,0.5909877991576808,BitcoinOTC-1,semba-status-decoder,all_status,45,fixed_0.5,6.0,0.8315786729220291,56.99568,0.190045,57.185725,cuda,160642,1000.0,24.0,
0.5827427601814269,5339,4584,755,0.8585877505150777,4217,1122,510,245,612,3972,0.839483049260161,0.8518288065641184,0.7230225266816861,0.9026247017384388,0.5434203516249334,0.7709944176692902,0.8587057776544965,0.9661250669831458,0.6129552734334026,BitcoinOTC-1,semba-status-decoder,all_status,46,val_F1_macro,1.0,0.8343359451562229,39.348657,0.186044,39.534701,cuda,160642,1000.0,24.0,
0.5,5339,4584,755,0.8585877505150777,4412,927,471,284,456,4128,0.8613972654055067,0.8671589538128578,0.7388943903724684,0.917741218319253,0.5600475624256838,0.7621823099060365,0.8587057776544965,0.9661250669831458,0.6129552734334026,BitcoinOTC-1,semba-status-decoder,all_status,46,fixed_0.5,1.0,0.8343359451562229,39.348657,0.186044,39.534701,cuda,160642,1000.0,24.0,
