model,feature_set,threshold_mode,PR_AUC_negative_mean,PR_AUC_negative_std,F1_negative_mean,F1_negative_std,F1_macro_mean,F1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,AUROC_mean,AUROC_std,F1_weighted_mean,F1_weighted_std,train_wall_time_sec_mean,train_wall_time_sec_std,eval_wall_time_sec_mean,eval_wall_time_sec_std,total_wall_time_sec_mean,total_wall_time_sec_std,seed_count
XGB-all-reference,all,fixed_0.5,0.5472419965475198,0.005471063548920983,0.4405662614556829,0.004305679182645679,0.6341488499861196,0.002625359580815177,0.7352977243045202,0.004500057609438011,0.8234949088681622,0.00554609734901565,0.7729815399061499,0.0014973044984107247,0.8108694,0.033181794289941564,0.022619800000000002,0.002203269320804881,0.8334889999999999,0.03434085025883896,5
XGB-all-reference,all,val_F1_macro,0.5472419965475198,0.005471063548920983,0.489958114211727,0.0077054201535130045,0.6970104085575143,0.009635956673688306,0.7167893508084555,0.009148366470459593,0.8234949088681622,0.00554609734901565,0.8455032414943974,0.011616207619452042,0.8108694,0.033181794289941564,0.022619800000000002,0.002203269320804881,0.8334889999999999,0.03434085025883896,5
semba,graph_memory,fixed_0.5,0.3882253548200988,0.02166077366816536,0.2289372450053538,0.05883337573086755,0.5787443549155552,0.029660929637970197,0.5645220923916184,0.01953794467686973,0.7359986362007789,0.010055412327491018,0.8296174442293143,0.00879416209613454,53.527398000000005,8.122792869201302,0.2172496,0.05578172008194082,53.744648,8.128815281854704,5
semba,graph_memory,val_F1_macro,0.3882253548200988,0.02166077366816536,0.3374369424183432,0.042375855956532114,0.623235552395808,0.014128135983504016,0.6132159656969823,0.03104087931526685,0.7359986362007789,0.010055412327491018,0.8282033137001182,0.011324259752924568,53.527398000000005,8.122792869201302,0.2172496,0.05578172008194082,53.744648,8.128815281854704,5
semba-status-decoder,all_status,fixed_0.5,0.6000623990085725,0.014655254041627507,0.5534337715012477,0.008121758797362214,0.7382547892514817,0.005400416795851539,0.7460341469898177,0.010359144507384798,0.8537015302289565,0.006690028075738896,0.8708038952574089,0.004912044248670947,46.0739982,10.097395480583183,0.21247439999999998,0.05712786577756953,46.2864728,10.073839488864522,5
semba-status-decoder,all_status,val_F1_macro,0.6000623990085725,0.014655254041627507,0.5406222137960899,0.011711512133847444,0.7203821644061585,0.010483878352760526,0.7712001433144944,0.003032592552301209,0.8537015302289565,0.006690028075738896,0.8493015970500905,0.00961424452030447,46.0739982,10.097395480583183,0.21247439999999998,0.05712786577756953,46.2864728,10.073839488864522,5
